Time,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
10/16 ~ 10/26,Atlanta Hawks,4,2,2,0.5,48,117,41.8,90.5,46.1,15.3,37.8,40.4,18.3,26,70.2,9.3,36.5,45.8,26.5,17.5,7.8,5.3,5.3,27,26,-1,107.6,108,-0.4,63.5,1.51,18,23.8,71.6,48.2,16.1,54.6,57.4,109,49.7
10/16 ~ 10/26,Boston Celtics,5,3,2,0.6,48,100,37,91,40.7,10.8,34,31.8,15.2,19.8,76.8,11.6,37.8,49.4,22.2,14,6.4,3.4,3.4,23,21.2,2.2,99.2,96.6,2.6,60,1.59,16.2,26.2,74,50.2,13.9,46.6,50.1,101,50.6
10/16 ~ 10/26,Brooklyn Nets,5,2,3,0.4,48,107.2,39.8,85.6,46.5,13.2,33.6,39.3,14.4,19.6,73.5,10,36.4,46.4,24.8,19.2,6.2,5.2,4.8,20.4,19.2,-1.4,107.6,108.8,-1.2,62.3,1.29,17.8,31.4,70,51.9,19.3,54.2,56.9,99.7,50.5
10/16 ~ 10/26,Charlotte Hornets,6,3,3,0.5,48,116,42.7,92,46.4,13.7,35.5,38.5,17,21.3,79.7,11,32.8,43.8,25,11.8,6.7,7.5,7,19.2,21.5,6.3,115,108.6,6.5,58.6,2.11,17.9,27.2,71.4,48.4,11.7,53.8,57.2,100.92,52.5
10/16 ~ 10/26,Chicago Bulls,5,1,4,0.2,48,110.2,40.6,86,47.2,11.4,28.4,40.1,17.6,23.2,75.9,6.8,31.8,38.6,22.8,14,4.6,5,5.8,22.4,18.8,-10.8,110.2,120.5,-10.3,56.2,1.63,17,23.1,67.3,45.9,14,53.8,57.3,100.2,43.5
10/16 ~ 10/26,Cleveland Cavaliers,5,0,5,0,48,105.4,40,91,44,7.2,22.2,32.4,18.2,22.6,80.5,13,31.8,44.8,20.4,14.4,6,1.4,5.4,23.6,21.6,-13,103.9,116.8,-12.8,51,1.42,14.8,30.6,72.1,50.2,14.2,47.9,52.2,101.4,42.2
10/16 ~ 10/26,Dallas Mavericks,5,2,3,0.4,48,113.2,40.6,92.4,43.9,13.2,40,33,18.8,25,75.2,11.4,32,43.4,25.8,14.6,7.2,6,4,20.8,25.8,-5.4,109.5,114.7,-5.2,63.5,1.77,17.8,29.8,77.4,51.3,14.1,51.1,54.7,103.4,47.7
10/16 ~ 10/26,Denver Nuggets,5,4,1,0.8,48,113.2,41.6,89.8,46.3,8,27.4,29.2,22,29.6,74.3,12.2,37.8,50,24.4,14,9.6,5.4,5.6,23.8,24.6,9.2,109.7,101,8.7,58.7,1.74,17,31,78.3,54.5,13.6,50.8,55,103.1,55.6
10/16 ~ 10/26,Detroit Pistons,4,4,0,1,49.3,116,43,94.8,45.4,11.8,31.3,37.6,18.3,25.3,72.3,14.3,33,47.3,21.3,13.8,4.3,4.5,4.3,22,23,3.3,113.7,110.8,2.9,49.4,1.55,14.9,36.7,76.6,55.2,13.5,51.6,54.8,99.29,47.8
10/16 ~ 10/26,Golden State Warriors,6,5,1,0.833,48,120.8,46,88,52.3,11.5,29.5,39,17.3,20.5,84.6,9,35.7,44.7,29.2,17,8.2,5.7,2.8,23.8,20.8,12.8,116.4,103.5,12.9,63.4,1.72,20.2,26.3,70.6,50.9,16.4,58.8,62.3,104.08,58.8
10/16 ~ 10/26,Houston Rockets,5,1,4,0.2,48,110,39.8,92.4,43.1,14.6,41.2,35.4,15.8,21.6,73.1,10.6,30,40.6,21.6,14.4,8.8,5.8,5.8,23.2,20.8,-8.8,107.2,114.9,-7.7,54.3,1.5,15.7,26.1,70.4,46.5,14,51,54,103,42.3
10/16 ~ 10/26,Indiana Pacers,5,3,2,0.6,48,110.2,43.6,88.2,49.4,11.4,25.2,45.2,11.6,17.2,67.4,9.8,34.8,44.6,23.2,14.6,7.2,5.2,6.4,22.6,19,8.2,112.2,103.4,8.8,53.2,1.59,17.3,28.8,69.7,50.4,14.9,55.9,57.5,98.4,53.8
10/16 ~ 10/26,LA Clippers,5,3,2,0.6,48,112.6,39.2,84.8,46.2,8.2,24.4,33.6,26,30.2,86.1,9,38,47,19.8,15,5.4,5.4,6.8,23.8,25,4.6,109.7,105.7,4.1,50.5,1.32,14.7,26.4,70.6,50.5,14.6,51.1,57.4,102.4,52.9
10/16 ~ 10/26,Los Angeles Lakers,5,2,3,0.4,49,125.6,49.2,98.4,50,9.8,31.6,31,17.4,23.8,73.1,10,35.4,45.4,29,12.6,9.8,6,5.2,22.8,23.6,1.2,115,114.1,0.9,58.9,2.3,19.1,26.8,72.1,49.1,11.5,55,57.7,106.87,52.1
10/16 ~ 10/26,Memphis Grizzlies,4,2,2,0.5,48,99.5,34,85.8,39.7,10.5,30,35,21,27.5,76.4,8.5,31.8,40.3,21,13.3,9.3,3.8,5.8,23.5,23,-2.8,99.7,102.5,-2.8,61.8,1.58,15.6,24.5,70.1,46,13.3,45.8,50.8,99.75,46.3
10/16 ~ 10/26,Miami Heat,4,2,2,0.5,48,109,39,91.3,42.7,11.3,32.8,34.4,19.8,27.8,71.2,13,38.8,51.8,21.5,16.3,5.3,6.5,9.3,24,26.5,5,106.6,101.5,5.1,55.1,1.32,15.1,35.1,74.4,54.8,15.9,48.9,52.7,102.38,53
10/16 ~ 10/26,Milwaukee Bucks,5,5,0,1,48,120.6,44.2,93.2,47.4,16,41.8,38.3,16.2,21.2,76.4,11.4,43.6,55,27.2,16.4,6,7.8,5,23.8,21.4,14.8,114,100.2,13.8,61.5,1.66,18.5,28.3,74.9,53.5,15.5,56,58.8,105.7,59
10/16 ~ 10/26,Minnesota Timberwolves,6,2,4,0.333,48,112.7,39.8,92.5,43.1,10.3,29.5,35,22.7,26.7,85,11.7,31.5,43.2,23.2,13.5,9.5,5.8,6,21.2,23.2,-4.5,108.7,113.4,-4.7,58.2,1.72,16.2,30.4,68.5,48.9,13,48.6,54,103.5,48.4
10/16 ~ 10/26,New Orleans Pelicans,4,4,0,1,48,128.3,48,96,50,10.3,25.8,39.8,22,30.3,72.7,13.3,36.8,50,29,11.8,9.3,6.5,5.3,23.5,24,12,120.1,109.9,10.2,60.4,2.47,19.1,31.3,73.3,52.3,11,55.3,58.7,106.25,57.2
10/16 ~ 10/26,New York Knicks,6,1,5,0.167,48,105.3,39.5,93.8,42.1,11.3,32.8,34.5,15,19.8,75.6,10.8,31.8,42.7,19.5,13.2,7.8,2.3,5.2,21.5,21.3,-7.8,102.9,110.4,-7.5,49.4,1.48,14.2,27.6,73.8,48.5,12.9,48.1,51.4,102.42,43.2
10/16 ~ 10/26,Oklahoma City Thunder,4,0,4,0,48,101.8,37.5,96,39.1,8.3,34.3,24.1,18.5,28.8,64.3,16.3,35,51.3,20.3,15.5,8.3,6.3,4.5,26.5,26.5,-10.3,97.4,107.7,-10.3,54,1.31,13.8,35.2,70,50.8,14.8,43.4,46.8,104.25,42.2
10/16 ~ 10/26,Orlando Magic,5,2,3,0.4,48,102.8,39.4,91.4,43.1,10.2,30,34,13.8,19.4,71.1,11.8,34.8,46.6,25.2,13.8,6.6,6,4.2,18.4,20.6,-8.2,103.2,111.7,-8.5,64,1.83,18,28.1,71.4,49.2,13.9,48.7,51.4,99.5,46.8
10/16 ~ 10/26,Philadelphia 76ers,5,2,3,0.4,49,114,42,92.8,45.3,11.8,34.4,34.3,18.2,24.2,75.2,9.2,40,49.2,28.4,13.2,6.6,5.8,6.4,21.8,21.8,-2.8,107.3,110.4,-3.1,67.6,2.15,19.3,23.8,72.8,49.2,12.4,51.6,55.1,103.84,51.2
10/16 ~ 10/26,Phoenix Suns,4,1,3,0.25,48,107,39,82,47.6,12.3,34.5,35.5,16.8,22.5,74.4,9.3,34,43.3,26.5,18,5.8,2.8,5,23,22.5,-11.3,105.4,116.2,-10.8,67.9,1.47,19.2,21.3,73.5,48.3,17.7,55,58.2,101.63,43.6
10/16 ~ 10/26,Portland Trail Blazers,4,3,1,0.75,49.3,125.3,45,94.8,47.5,12.5,33.8,37,22.8,26.3,86.7,12.8,40.8,53.5,22.8,15,6.5,5.8,6,21,22.8,8.8,117.6,109.6,8,50.6,1.52,15.7,31.7,77.2,55.3,14.1,54.1,58.9,103.68,53.9
10/16 ~ 10/26,Sacramento Kings,6,3,3,0.5,48,117,45.5,91,50,10,25.3,39.5,16,24.7,64.9,10.7,34.5,45.2,23.7,15.7,7.8,4.5,5.5,21.5,24.5,-3.3,109.7,111.9,-2.3,52,1.51,16.7,23.6,70.9,47.7,14.7,55.5,57.4,107.08,49.1
10/16 ~ 10/26,San Antonio Spurs,4,2,2,0.5,49.3,114.8,41.8,94.3,44.3,11.3,25.5,44.1,20,25.5,78.4,14.8,31.5,46.3,24.8,10,5,3.5,4,20.3,23,-7,114.8,122.7,-7.9,59.3,2.48,17.5,32,71,50.1,10,50.3,54.4,97.1,45.8
10/16 ~ 10/26,Toronto Raptors,6,6,0,1,48,116.8,44.5,89.8,49.5,12.3,32.5,37.9,15.5,20.2,76.9,10.3,37,47.3,25.2,14.2,7.2,6,5.2,23,21.2,10.8,115.9,105.6,10.2,56.6,1.78,18.1,28.6,68.2,50.2,14,56.4,59.2,100.58,57.5
10/16 ~ 10/26,Utah Jazz,4,2,2,0.5,48,107.5,36,82,43.9,12.5,33.5,37.3,23,29.5,78,8.5,36.3,44.8,21,17,8,4.8,4,20.3,23.8,2,105.9,104.2,1.7,58.3,1.24,15.6,27.2,79.2,53.3,16.7,51.5,56.6,101.38,51.7
10/16 ~ 10/26,Washington Wizards,5,1,4,0.2,49,116.8,40.6,91.8,44.2,12.2,37.2,32.8,23.4,29.6,79.1,8,33.4,41.4,21.2,13.6,7.8,7.8,4.6,27.2,23.4,-6,107,112.5,-5.5,52.2,1.56,15.1,20,63.7,42.2,12.5,50.9,55.7,106.97,46
10/26 ~ 11/5,Atlanta Hawks,5,1,4,0.2,48,105.8,38.8,87,44.6,11.2,35,32,17,23.6,72,9,33.8,42.8,24.8,20,8.4,6.4,5,21.8,22.4,-16.2,98.3,113.2,-14.8,63.9,1.24,17.2,22.3,71,46.3,18.6,51,54.3,107.7,42
10/26 ~ 11/5,Boston Celtics,5,3,2,0.6,48,108.4,39.8,87.4,45.5,15,39.4,38.1,13.8,18.2,75.8,8.2,37.2,45.4,25,13.2,6.4,7.4,3,22,20.4,3.6,107.8,105,2.7,62.8,1.89,18.4,22,73.9,48.8,13.1,54.1,56.8,100.2,53.4
10/26 ~ 11/5,Brooklyn Nets,6,2,4,0.333,48.8,113,42.3,93.3,45.4,14.3,36.7,39.1,14,20,70,12.3,30,42.3,25.2,13.8,6.3,4.7,6.3,25.2,21.5,-1.5,112.4,113.6,-1.1,59.4,1.82,17.7,30.6,66.2,47.5,13.8,53,55.3,98.95,47
10/26 ~ 11/5,Charlotte Hornets,5,3,2,0.6,48,119.2,44.8,90.6,49.4,11.4,33.2,34.3,18.2,20.8,87.5,10.2,37.4,47.6,26.2,13.6,6,6.6,6.2,22.4,21.2,13.4,119,106.2,12.7,58.5,1.93,18.6,31.3,76,55.2,13.6,55.7,59.7,99.9,57.4
10/26 ~ 11/5,Chicago Bulls,7,2,5,0.286,50.1,106.1,38.7,87,44.5,11.7,31.7,36.9,17,22.3,76.3,9.1,33.9,43,23,16,8,6,7.7,19.9,19.7,-7.4,102.6,110.7,-8.1,59.4,1.44,16.7,23.3,70.7,47.4,15.5,51.2,54.8,98.6,45.8
10/26 ~ 11/5,Cleveland Cavaliers,5,1,4,0.2,48,105.6,39,84,46.4,9,23.4,38.5,18.6,22.2,83.8,10.6,27.4,38,20.8,15.6,10.2,2.2,6,19.8,19,-8.6,108.9,117.7,-8.9,53.3,1.33,15.9,29.2,70.7,48.8,16.1,51.8,56.3,97,44.6
10/26 ~ 11/5,Dallas Mavericks,5,0,5,0,49,107.6,40.4,88.2,45.8,11,30,36.7,15.8,21.8,72.5,10.2,33,43.2,21.4,18.6,6.4,3.6,4.6,21.8,23.8,-7.2,104.1,111,-7,53,1.15,15.4,28.7,76.2,50.9,18,52,55,101.29,43.4
10/26 ~ 11/5,Denver Nuggets,5,5,0,1,49,110.4,42,90,46.7,10,29.8,33.6,16.4,21.8,75.2,12.6,34.6,47.2,26.2,14.2,8.4,5,6.2,18.2,22.4,9.6,112.7,102.6,10,62.4,1.85,18.5,34.1,75.8,54.5,14.5,52.2,55.4,96.1,54.9
10/26 ~ 11/5,Detroit Pistons,5,0,5,0,50,105.4,37,91.6,40.4,8.4,33.2,25.3,23,31,74.2,11.8,39.4,51.2,18.4,16.2,6.8,3.6,5.2,28.8,27.2,-7.8,98,104.8,-6.9,49.7,1.14,13,26,76.4,50.3,15.1,45,50.1,103.49,43.1
10/26 ~ 11/5,Golden State Warriors,6,6,0,1,48,126.8,46.5,88.3,52.6,15.5,33.5,46.3,18.3,22.8,80.3,9.7,38.3,48,31.2,13.2,7.8,6.2,3.5,21,19.7,17,124.8,108,16.7,67,2.37,21.6,26.1,76.2,53.4,13,61.4,64.5,101.67,59.5
10/26 ~ 11/5,Houston Rockets,5,3,2,0.6,48,102.2,35.8,87.2,41.1,13.6,42.4,32.1,17,23.2,73.3,12.4,30.8,43.2,21,14,8.8,7.4,3.8,23.8,20.2,-3.8,105.8,109.5,-3.7,58.7,1.5,15.7,29.8,73.1,49.1,14.5,48.9,52.5,96.7,46.6
10/26 ~ 11/5,Indiana Pacers,6,4,2,0.667,48,103.7,39.8,82.2,48.5,7.2,23,31.2,16.8,23.3,72.1,7.5,30.2,37.7,22,13.2,9.5,5.3,5.3,16.3,21,1.2,109.3,107.9,1.4,55.2,1.67,17.1,27.1,71.7,49.4,13.9,52.8,56.1,94.92,51.9
10/26 ~ 11/5,LA Clippers,6,4,2,0.667,48,122,42.7,86,49.6,11.8,25.3,46.7,24.8,30.3,81.9,9.3,36.3,45.7,23.5,16.7,6.2,5.7,5.8,25,25.8,10.2,116.7,107.2,9.6,55.1,1.41,16.7,29.2,71.9,52.4,15.9,56.5,61.4,104.42,55.5
10/26 ~ 11/5,Los Angeles Lakers,5,2,3,0.4,48,112.2,43.4,89,48.8,9.8,25.6,38.3,15.6,22.2,70.3,9.4,34,43.4,22.2,18.2,8,6.8,6.2,23.2,20,-3.4,106.5,109.1,-2.6,51.2,1.22,15.8,26.4,68.1,48.2,17.3,54.3,56.8,105.7,47.3
10/26 ~ 11/5,Memphis Grizzlies,5,3,2,0.6,48,107,38.4,77.4,49.6,10.2,26,39.2,20,27.4,73,6.2,29,35.2,26.2,12.6,11.6,3.6,4,22,24.8,5,113.3,108.7,4.6,68.2,2.08,20.2,21.4,75.4,47.6,13.3,56.2,59.8,94.1,53.9
