TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
ATL,35,11,24,0.314,48.1,109.5,40.2,89.7,44.8,11.6,34.8,33.2,17.6,23.9,73.7,11,33.8,44.8,25.7,18.5,8.8,5.7,5.3,23.9,23.1,-8.5
BOS,35,21,14,0.6,48.6,111.7,41.1,90.7,45.3,13.3,36.5,36.3,16.2,20.2,79.9,10.5,35.1,45.5,25.3,13.3,8.8,5.2,3.9,21.3,20.7,6.1
BKN,38,17,21,0.447,48.8,110.6,39.8,87.9,45.3,12.2,33.9,36,18.8,25.3,74.2,11.4,33.7,45.1,23.5,15,6.7,4,4.9,22.6,22,-1.2
CHA,35,17,18,0.486,48.7,113.4,41.6,91.4,45.5,11.9,33.1,36,18.2,23,79.2,9.7,34.4,44.1,24,12.7,7.4,5.3,6.8,20.2,21.6,2
CHI,37,10,27,0.27,48.4,100.4,37.9,85.6,44.3,9.3,27.1,34.2,15.3,19.7,77.5,7.6,34.2,41.8,21.5,15.5,7.9,4.8,5.9,20.5,18.5,-8.9
CLE,37,8,29,0.216,48,102.3,38.7,87.3,44.3,8.9,25.6,34.8,16,20.4,78.4,11.4,32.2,43.6,19.9,13.6,6.8,2.5,5.6,20.6,19.5,-9
DAL,35,17,18,0.486,48.3,110.9,39.2,86,45.6,11.9,33.9,35,20.6,27.5,74.8,10.3,35.1,45.4,22.8,15.9,7.6,4.5,4.5,20.2,24.8,0.7
DEN,34,23,11,0.676,48.3,109.9,41.3,89.1,46.4,10.7,30.4,35.3,16.6,22.1,75.1,12.2,34.6,46.8,27,14.4,8.5,4.8,5.5,20.5,20.9,5.2
DET,34,16,18,0.471,48.7,107.7,39.3,90.6,43.3,10.9,33.7,32.4,18.2,25,72.9,12.4,34.6,46.9,22.1,15.4,6.8,4.1,5.6,23.2,23.1,-1.8
GSW,37,24,13,0.649,48.4,115.4,42.7,88.8,48,12,31.7,37.9,18,21.9,82.1,9.9,36.1,46,27.8,14.6,7.3,6.1,3.6,22,20.3,4.1
HOU,35,20,15,0.571,48.3,109.8,38.3,85.7,44.7,14.7,42.6,34.6,18.4,24.2,76,11.2,30.9,42,21.1,14.5,7.8,5.3,4.8,22.9,20.5,1.3
IND,36,24,12,0.667,48,107.3,41.3,86.2,47.9,9.3,25,37.1,15.3,20.6,74.5,9.3,34.8,44,25.4,15,9.2,5.4,5.5,19.4,19.9,6.4
LAC,36,21,15,0.583,48.6,115.9,41.4,87.2,47.5,9.5,24.6,38.7,23.6,29.1,80.9,9.7,36.2,45.9,22.6,15.1,6,4.8,5.9,22.9,24.7,1.1
