TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
ATL,10,6,4,0.6,48.5,113.3,41.7,90.5,46.1,12.7,33.4,38,17.2,23.8,72.3,13.7,34.3,48,28.7,18.9,7.7,5.4,4.8,24.8,21.9,-2.1
BOS,10,6,4,0.6,49,115.1,41.5,91.4,45.4,13.1,36.9,35.5,19,23.1,82.3,10.8,33.2,44,24.6,13.7,10.1,5.3,4.4,20.8,21.7,2.7
BKN,10,7,3,0.7,49,116,40.4,83.4,48.4,12.7,32.5,39.1,22.5,29.1,77.3,8.6,35.5,44.1,26.5,15.1,6.5,4,4.9,19.4,23.4,1
CHA,10,5,5,0.5,49.5,112,41.7,91.7,45.5,11.7,31.5,37.1,16.9,21.9,77.2,9.7,35,44.7,23.4,13.4,6.9,5,6.4,20.1,21.3,-0.3
CHI,10,4,6,0.4,48,95.3,36.8,81.6,45.1,7.5,22,34.1,14.2,18.2,78,8,34.1,42.1,19.8,15.1,8.3,4.9,4.1,20.8,17.4,-4
CLE,10,2,8,0.2,48,100.2,37.9,86.7,43.7,9.4,29,32.4,15,19.4,77.3,10.4,32.7,43.1,21.2,12.9,7,2.9,6.2,19.8,18.3,-10.9
DAL,10,3,7,0.3,48.5,112.8,38.7,86.2,44.9,11.8,34.6,34.1,23.6,31.9,74,10.3,34.6,44.9,22.1,14.7,7,4.2,4.3,20,26.3,-2.6
DEN,10,6,4,0.6,48,107.8,39.9,88.1,45.3,11.4,32.7,34.9,16.6,21,79,12.7,33.2,45.9,26.7,14.7,8.5,5,5,20,19.2,-0.2
DET,10,3,7,0.3,48.5,103.7,38.1,86,44.3,11.5,33.5,34.3,16,22.3,71.7,10.9,34.6,45.5,23.5,16.9,6,5.2,5.5,22.6,21.3,-4.6
GSW,10,6,4,0.6,48.5,112.6,40.7,92.1,44.2,12.5,35.9,34.8,18.7,23.1,81,10.6,37.1,47.7,27.3,13.7,7.6,5.8,3.7,21.5,19.6,-0.6
HOU,10,9,1,0.9,48,113.5,38.4,85.5,44.9,16,43.5,36.8,20.7,26.7,77.5,11.8,33,44.8,21.3,13.1,7.5,3.9,5.3,22,20.2,8
IND,10,8,2,0.8,48,110.5,42.7,87.2,49,9.3,24.8,37.5,15.8,20.9,75.6,10.5,36,46.5,27.7,15.1,8.9,5.5,4.5,19.6,20.2,11.2
LAC,10,4,6,0.4,48,115.7,41.5,85.2,48.7,10.1,23.8,42.4,22.6,27.6,81.9,9.6,35.2,44.8,23.4,16.5,5.7,3.4,5.3,22.6,23.5,-4
LAL,10,4,6,0.4,48,114.1,43.3,87.8,49.3,11.5,33.6,34.2,16,24.4,65.6,8.2,37.6,45.8,26.2,15.5,7.4,4.9,4.5,18.4,21.1,1.1
MEM,10,3,7,0.3,48,97.4,36.6,78.9,46.4,8.8,26.1,33.7,15.4,19.7,78.2,7.2,31.6,38.8,22.2,14,8.5,6.5,5.2,20.8,19.6,-2.8
MIA,10,6,4,0.6,48,102.7,38.6,87.5,44.1,11.3,32.7,34.6,14.2,21,67.6,12.5,35.1,47.6,24.4,13.8,8,4.8,5.2,21,18.3,2.5
MIL,10,8,2,0.8,48,110.6,40.8,89.6,45.5,12.3,37.6,32.7,16.7,22,75.9,8.8,40.1,48.9,24.7,13.4,6.6,6.8,3.5,20,19,7.3
MIN,10,4,6,0.4,49,115.6,42.2,92.2,45.8,9.2,27.8,33.1,22,28.7,76.7,11.4,34.2,45.6,26.5,12.2,8.6,5.5,5.4,21.7,25.2,0.1
NOP,10,3,7,0.3,48,110.3,41.9,91.5,45.8,9.5,28.3,33.6,17,22.2,76.6,11,35.5,46.5,26.3,13.7,8,5,5.7,24,21.4,-3.3
NYK,10,1,9,0.1,48.5,105.2,39,92.3,42.3,10.9,30.4,35.9,16.3,21.7,75.1,9.6,33.3,42.9,20.9,12.7,6.7,3.3,5.2,20.4,19.6,-13.7
OKC,10,5,5,0.5,48,112.4,43.4,92.3,47,9.3,27.5,33.8,16.3,23.9,68.2,12.5,34.8,47.3,21.2,15.5,10.8,5.7,4.8,21.5,22.6,4.4
ORL,10,4,6,0.4,48.5,96.5,35.5,85.1,41.7,9.8,29.6,33.1,15.7,20.2,77.7,9.6,35.1,44.7,20.3,15.6,6,5.2,5.4,19.6,19.3,-7.8
PHI,10,5,5,0.5,48.5,114.5,42.4,90.3,47,11.7,33.7,34.7,18,23.9,75.3,10.7,35.9,46.6,27.4,13.5,7.7,5.1,2.8,20.9,20.8,1.8
PHX,10,5,5,0.5,50,112.2,43.4,93.2,46.6,9.4,27.1,34.7,16,19.7,81.2,11.5,32.3,43.8,24.6,14.6,10.4,6.1,4.3,22.3,18.3,-1
POR,10,6,4,0.6,49,109.2,40.7,90.1,45.2,10.4,28.1,37,17.4,21.9,79.5,9.4,36,45.4,21.8,13.9,7,4.6,5.8,20.8,20.5,-1.5
SAC,10,5,5,0.5,48,117.7,43.3,95.1,45.5,13.2,35,37.7,17.9,24.4,73.4,10.4,33.2,43.6,26.1,12.2,7.2,5.4,5.5,22,22.3,-4
SAS,10,7,3,0.7,48,113.8,43.4,84.4,51.4,10.4,24.5,42.4,16.6,20.9,79.4,7.4,38,45.4,26.7,12,7,5,3.9,18.2,19.2,15.9
TOR,10,6,4,0.6,48,105.8,39.4,89.8,43.9,10.8,32.1,33.6,16.2,19.9,81.4,11.2,33.1,44.3,20.6,12.1,7.5,5.3,5.9,19.4,18.1,0.2
UTA,10,5,5,0.5,48,108.7,39.9,86.4,46.2,12.4,33.2,37.3,16.5,23.1,71.4,10.2,38,48.2,26.8,16.5,9.1,4.9,5.2,21.2,21.7,7.6
WAS,10,3,7,0.3,50,115.4,43.4,90.2,48.1,11.2,33.4,33.5,17.4,22.2,78.4,8.6,30.3,38.9,27.4,15.2,8.9,3.7,4.5,21.2,21.9,-4.9
