TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
ATL,15,7,8,0.467,48.3,111.9,41,90.4,45.4,11.9,33.9,35,18.1,24.5,73.8,12.9,33.7,46.7,27.1,19.3,9.3,5.3,5,23.8,22.5,-5.3,106.3,110.8,-4.6,66,1.4,18.2,31.9,73.7,52.1,18.3,51.9,55.3,104.81,46.6
BOS,15,11,4,0.733,48.7,118.8,43.4,91.5,47.4,14.6,37.6,38.8,17.4,20.9,83.4,10.7,33.9,44.6,26.6,12.8,9.7,4.9,3.9,21.5,21.1,11.3,117.2,106.3,10.9,61.3,2.08,18.7,28.6,72,50.3,12.6,55.4,59,99.81,56.2
BKN,15,9,6,0.6,49,111.7,39.7,85.7,46.3,12.1,32.7,37.1,20.1,26.7,75.3,10.1,35.4,45.5,24.7,15.3,6.5,3.7,4.7,20.5,22.1,0.1,110.1,110.4,-0.3,62.2,1.62,17.8,27,75.7,51.5,15.1,53.4,57.3,99.17,50.1
CHA,15,7,8,0.467,49,111,40.9,91.3,44.8,11,31.1,35.3,18.1,23.3,77.7,9.7,34.1,43.9,23,12.5,7.7,4.9,7,19.5,21.3,-1.2,108.9,109.9,-1,56.2,1.84,16.7,26.1,73.4,49.2,12.2,50.8,54.6,99.95,48
CHI,15,5,10,0.333,48,95.1,37,83.1,44.5,7.7,23.5,32.6,13.5,17.5,77.1,7.9,33.5,41.5,20.3,15.8,8.3,4.8,4.6,21.1,17.4,-9,98.2,107.3,-9.1,55,1.29,15.9,22.9,70.4,47.1,16.3,49.1,52.4,96.97,45.1
CLE,15,4,11,0.267,48,101.6,38.8,87.3,44.4,9.6,28.3,34,14.4,18.7,76.9,10.5,33.3,43.8,20.9,12.3,6.4,2.8,5.4,19.1,18.3,-10.1,105.8,117.1,-11.4,54,1.7,16,27.9,70.8,49,12.8,49.9,53.2,95.7,44.6
DAL,15,7,8,0.467,48.3,111.1,38.8,86.7,44.7,11.5,34,33.9,22,29.5,74.7,11.3,35.7,46.9,22.7,15,7.3,4.1,4.3,18.8,24.4,-0.7,109.1,110.2,-1.1,58.6,1.52,16.3,29.5,73.6,51.6,14.7,51.4,55.7,101,50.2
DEN,15,11,4,0.733,48.3,109.5,40.7,88.7,45.8,11.3,30.6,36.8,16.9,22.4,75.6,12.7,34.4,47.1,27.7,14.6,8.2,4.7,5.2,19.4,20.1,3.1,111.1,107.3,3.8,68,1.89,19.5,31.2,72.6,51.9,14.8,52.2,55.6,98.18,52
DET,15,4,11,0.267,48.3,102.8,38,88.9,42.7,10.5,33.1,31.8,16.3,22.8,71.3,11.9,34.1,46,22.8,16.4,6.8,4.4,6.1,22.5,21.8,-6.7,102.4,108.6,-6.2,60,1.39,16.4,29.6,74.7,51,16.3,48.7,51.9,99.94,44.3
GSW,15,9,6,0.6,48.7,114.5,41.9,91,46.1,12.8,34.6,37,17.9,21.7,82.5,10.1,36.2,46.3,27.8,14.3,7.4,5.8,3.6,21.3,20.1,2.2,110.2,108,2.2,66.3,1.95,19.2,25.2,74.7,50.1,13.7,53.1,57,102.54,52.2
